at,timestamp,hr,rr,act
2016-08-05 19:31,1470418313,85,22.3,38
2016-08-05 19:31,1470418315,86,22.2,125
2016-08-05 19:31,1470418317,86,22,332
2016-08-05 19:31,1470418319,86,22,496
2016-08-05 19:32,1470418321,86,22,629
2016-08-05 19:32,1470418323,86,22,103
2016-08-05 19:32,1470418325,86,22,74
2016-08-05 19:32,1470418327,86,22,54
2016-08-05 19:32,1470418329,86,22,57
2016-08-05 19:32,1470418331,86,22,72
2016-08-05 19:32,1470418333,86,22,74
2016-08-05 19:32,1470418335,85,22,206
2016-08-05 19:32,1470418337,85,22,446
2016-08-05 19:32,1470418339,85,22,404
2016-08-05 19:32,1470418341,85,22,98
2016-08-05 19:32,1470418343,85,22,99
2016-08-05 19:32,1470418345,85,22,543
2016-08-05 19:32,1470418347,85,22,1067
2016-08-05 19:32,1470418349,85,22,315
2016-08-05 19:32,1470418351,85,22,110
2016-08-05 19:32,1470418353,85,22,57
2016-08-05 19:32,1470418355,85,22,62
2016-08-05 19:32,1470418357,85,22,51
2016-08-05 19:32,1470418359,85,22,55
2016-08-05 19:32,1470418361,81,22,71
2016-08-05 19:32,1470418363,70,22,65
2016-08-05 19:32,1470418365,55,22,60
2016-08-05 19:32,1470418367,48,22,63
2016-08-05 19:32,1470418369,48,22,77
2016-08-05 19:32,1470418371,48,22,85
2016-08-05 19:32,1470418373,48,22,72
2016-08-05 19:32,1470418375,48,22,23
2016-08-05 19:32,1470418377,48,22,64
2016-08-05 19:32,1470418379,47,22,50
2016-08-05 19:33,1470418381,47,22.1,56
2016-08-05 19:33,1470418383,47,22.2,56
2016-08-05 19:33,1470418385,47,22.6,44
2016-08-05 19:33,1470418387,47,22.6,56
2016-08-05 19:33,1470418389,47,22.7,17
2016-08-05 19:33,1470418391,47,23,46
2016-08-05 19:33,1470418393,47,23.1,56
2016-08-05 19:33,1470418395,47,23.1,56
2016-08-05 19:33,1470418397,47,23.2,50
2016-08-05 19:33,1470418399,47,23,66
2016-08-05 19:33,1470418401,47,22.7,60
2016-08-05 19:33,1470418403,47,22.5,20
2016-08-05 19:33,1470418405,47,22.3,42
2016-08-05 19:33,1470418407,46,22.2,66
2016-08-05 19:33,1470418409,46,22.2,56
2016-08-05 19:33,1470418411,46,22.2,48
2016-08-05 19:33,1470418413,46,22.2,50
2016-08-05 19:33,1470418415,46,22.1,44
2016-08-05 19:33,1470418417,46,22,56
2016-08-05 19:33,1470418419,46,22,62
2016-08-05 19:33,1470418421,46,22,54
2016-08-05 19:33,1470418423,45,22,30
2016-08-05 19:33,1470418425,45,22.2,60
2016-08-05 19:33,1470418427,46,22.6,62
2016-08-05 19:33,1470418429,47,23.1,58
2016-08-05 19:33,1470418431,47,23.5,69
2016-08-05 19:33,1470418433,47,23.8,54
2016-08-05 19:33,1470418435,47,24.2,55
2016-08-05 19:33,1470418437,48,24.5,67
2016-08-05 19:33,1470418439,48,24.7,60
2016-08-05 19:34,1470418441,48,24.8,68
2016-08-05 19:34,1470418443,48,25.2,29
2016-08-05 19:34,1470418445,48,25.5,64
2016-08-05 19:34,1470418447,48,25.5,45
2016-08-05 19:34,1470418449,48,25.5,66
2016-08-05 19:34,1470418451,49,25.5,43
2016-08-05 19:34,1470418453,49,25.5,73
2016-08-05 19:34,1470418455,49,25.5,54
2016-08-05 19:34,1470418457,49,25.5,26
2016-08-05 19:34,1470418459,50,25.5,54
2016-08-05 19:34,1470418461,50,25.5,64
2016-08-05 19:34,1470418463,50,25.5,57
2016-08-05 19:34,1470418465,51,25.5,58
2016-08-05 19:34,1470418467,51,25.5,65
2016-08-05 19:34,1470418469,51,25.5,41
2016-08-05 19:34,1470418471,51,25.5,54
2016-08-05 19:34,1470418473,51,25.5,52
